"Government primary balance, percent of GDP (% of GDP)",Country code,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.42393884,-0.862726118,-1.128542698,-1.871685957,-2.645210479,-2.155485942,-0.605626788,-1.309598772,-0.221017606,-0.398019568,-0.535072779,-1.987255638,-3.413110447,-0.163998619,-0.354522115,-0.327045623,-2.005344035,-2.585411494,-1.623616628,0.964855853,0.651897557,0.60166353,0.13147389,-4.588223877,-2.652138222,-1.795639314,0.694121688,1.43839528
Algeria,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.846415147,3.192403459,0.932466911,-5.69893213,-1.50558852,1.560626573,5.887604943,5.816673932,0.086559137,1.684434317,12.53817869,6.367829677,3.013942045,9.221161079,7.650201446,12.36493306,13.63554062,5.443032295,8.312990882,-6.186665895,-1.096121837,-0.821618282,-3.797815216,-0.545805545,-6.948646148,-13.65320508,-11.61027893,-6.74463839,-5.705245297,-8.015126452,-9.696804488,-5.744400932,-1.821696566,-4.341104772,-12.6675115
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25760129,4.810127124,0.200511622,-2.875637403,5.938215421,6.401298103,-0.183848487,-2.849961466,2.707912258,7.750426062,9.546606016,4.810902143,-2.140952723,-5.204449388,3.997114268,7.997947206,4.452753779,0.397688613,-4.143840285,-1.002663602,-1.478419827,-2.585866988,6.234111797,5.674452636,4.31982947,7.986701257,4.055489289,3.464016145,3.930333476
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.653797948,-1.445659041,1.783819377,0.249307436,-1.632778004,-1.310203877,1.134701693,1.601402009,0.804759468,-1.01443387,0.022108457,-5.409608256,-5.275410868,-2.959020849,-0.043257346,-1.157162452,-3.342277901,-2.216486765,-2.282108225,-9.54848822,1.597877141,-1.27048709,1.05428121,-1.495573423,-0.162351781,-0.08089785,2.309829702,-0.132416852,-0.003287132,-0.946895612,-3.736975564,-2.278522283,-0.27398449,0.463545606,3.932013406
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.093712986,-1.222908974,-0.156374514,-1.010149956,-0.387790084,-0.273509741,-3.31461978,1.290450096,1.223290205,-0.307160139,-0.80287981,-1.987389803,0.28504014,1.064180136,1.150090218,2.38419E-07,-0.406459928,-3.453709841,-2.141410112,-2.069679737,-0.226109743,0.176890373,2.460540056,1.169730067,2.0504E-05,0.807650328,-0.781669617,0.871190548,2.280659914,1.797850132,0.761179924,-2.432150126,0.920859575,-6.344189644,2.500280142,2.825870037,2.85972023,1.016160488,3.259010315,2.718590021,-1.29496932,1.801950216,1.856719732,2.101719618,-1.093389988,-0.831129432,-0.680000186,0.631909966,0.875049829,-1.269699693,-1.045529842,-0.616079926,-0.648619771,0.229429841,1.013509989,1.267469883,0.306609631,-0.486030102,0.289760232,0.513590097,0.732610226,0.415109992,-1.663120389,0.118320107,-0.178420067,-1.940060139,-0.576950073,1.951430321,1.613400221,0.560619593,0.509029746,-0.008120418,-0.366940141,-0.854799747,-1.677399755,-0.680070043,-1.283779979,-1.489560604,-2.243550539,-3.182939887,-3.840839386,-3.144880116,-0.780503869,-2.019802213,-3.234974861,-2.639741421,-2.833290696,-2.216540635,-2.348769903,-2.395057201,-2.931497395,-3.037978113,-2.051049769,-5.905524909,-4.29138732,-1.477345824,2.186258674,0.087784886,-0.046611905,-0.518568635,-0.38061738,-0.506300688,1.03851527,0.645153999,3.410099983,4.046200275,3.936109781,4.131700039,2.59003973,5.051499844,2.317200184,-1.216610074,0.372011602,0.185630202,0.127080202,0.269870281,-1.047688723,-0.174220085,-0.626980066,0.731900215,5.937859297,5.173189044,3.429620266,-0.815892875,0.683563828,0.563872635,1.850748599,3.132660389,4.068829417,2.197379589,1.866599441,0.561759949,0.25219401,0.521270094,-0.659310692,0.21119412,-1.251648109,0.234949394,3.226373896,5.219480731,5.151817629,3.286041875,2.549626835,1.864627221,-0.487913724,-0.5384479,-1.587371097,-1.695818615,-2.63968437,-3.50002654,-4.417828064,-4.762199045,-4.228378887,-2.237986081,-0.406549349,-6.240238945,-2.526054308,-1.727896848,-2.795208038,2.171734106
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33912087,-1.099765182,-0.850571443,1.446984261,1.538343316,1.884840891,0.553912731,-1.757164292,3.143195819,-6.403720727,-0.958689063,-0.338638304,1.184928323,4.210239438,-0.083994748,-0.597494534,-3.518235232,-5.737818031,-2.678763427,-3.7032433,2.301173485,2.625293074,1.438362943,1.131736579,3.588151209,-11.57621575,-5.206868207,3.690694122,7.002517157,7.914532122
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147131994,-0.129628032,-0.905733094,-3.255932197,-4.726032078,-4.081921726,-4.508293152,-2.127685875,-1.706221163,-0.635707915,-0.039067,-0.207780004,0.99883008,1.000599742,0.75187993,0.672799826,0.753500342,0.446999907,3.714069843,4.297519684,2.104430318,3.915930033,3.379890203,3.024149895,2.900410175,2.692520142,3.309509993,2.904039621,0.186509848,-3.484179735,-10.65082896,-10.51631951,-7.28009057,-2.350949168,1.297640204,3.493460298,2.011999846,5.404920936,2.667983115,0.323426008,-0.132284522,0.18758893,0.473802626,1.309927315,-0.05646795,-0.024204403,0.251478583,2.815778971,1.724428177,2.026886225,2.130969048,2.617144585,1.011096954,0.604674816,0.788859844,1.691494703,2.965838432,2.185345173,2.073353767,1.360830545,2.499751568,0.077314615,-0.958673,-0.580896616,-1.457716465,-1.08359313,0.962253809,0.66101408,0.603120804,-1.04895401,-1.301975727,-0.668483734,-0.03690052,1.84113884,3.274067879,4.14863348,3.317455292,1.141526222,-1.847100258,-2.688266039,-0.694344521,-0.194389343,0.83518219,1.834531784,2.591859341,2.722016335,3.803717136,1.286331415,1.704883099,2.797475219,2.479190826,2.575113654,2.957682014,2.579334021,2.764268041,-1.964132786,-3.713954687,-3.401519895,-3.342950493,-2.184684581,-1.45219848,-1.499268581,-1.312436414,-0.984560113,-0.337026626,0.087132524,-3.127527034,-7.428985017,-5.140500273,-0.909276916,0.236711746,-0.523695686
Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.451219559,-1.126970291,1.817900181,2.250070095,-3.142239809,2.806609869,3.140429974,2.246709585,2.473139524,1.958789349,3.15370965,-0.749429703,2.682039976,2.242220879,2.436169863,3.818660259,3.715579748,3.832279205,3.263489485,3.16443038,3.196500301,2.757009506,2.474389315,2.1115098,1.993369102,2.047920227,2.572620153,-0.123949051,1.344500542,-2.839719772,2.248640299,2.708820105,1.772709131,,,,,,,,,,,,-4.660880089,-4.039806187,-5.365796149,-6.463495731,-6.741463423,-6.109198451,-8.910869181,-10.26636994,-7.951831102,-2.120770693,-3.70489943,-3.911360264,-2.482750416,-1.513199687,,,,,,,,,,,-8.83922714,-8.924058437,-7.458896607,-1.356652245,-0.546875626,-0.065441489,-0.148477927,-0.26815553,-0.484003425,-0.392482758,-3.1351282,-1.608285427,0.126604617,2.302448571,1.74735415,0.129208088,1.091357589,2.017540872,2.353780746,0.069730282,-0.08009702,0.716642499,1.97504437,2.247038722,2.724423409,1.977211773,2.012085199,-1.421734393,-1.987090588,-0.331379533,-0.547050238,-0.089259148,0.77017045,0.869698763,-0.320118904,-1.320981741,0.584169149,0.715288401,-0.319170952,-0.517999887,-0.116428852,0.234452963,0.894080639,0.690459013,1.732059479,-0.531770706,-1.207759857,-1.800859451,-0.129847527,1.794158697,1.224358797,1.077720404,1.762292862,3.320852518,2.41836071,1.423942089,-1.613430738,1.18232131,1.192529202,1.880018234,1.655119658,-1.340429544,-1.735113144,0.361200141,0.609748779,0.664307328,0.541844106,1.87524391,0.644734648,1.071809056,1.828255411,1.967214109,-6.854318453,-4.588411403,-2.35598787,-1.40626017,-3.135869865
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21357221,-1.239797544,-1.928694032,-0.826906354,1.732450007,-0.63316351,0.53896413,22.02442387,19.67237076,1.832941689,1.990408099,2.908005455,0.849751706,2.545233962,17.34224595,6.036131931,13.8356717,10.93459537,3.812896954,1.748925238,2.891434256,-4.462134171,-0.74278239,-0.909371662,6.106101922,9.647879535,-5.607002054,4.878563661,6.434843032,8.625688478,4.409575207
