Net lending/borrowing (also referred as overall balance) (% of GDP),Country code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Afghanistan,AFG,,,,,,,,,,,,,-0.098458076,-2.101669236,-2.392838255,-0.917107415,0.683695765,-2.461719388,-3.863593792,-1.76059209,0.933343625,-0.671821698,0.182057052,-0.63094557,-1.718796808,-1.377700329,0.127257984,-0.673105906,1.63419574,-1.058081118,-2.242799393,-0.484938818,-0.997336717,-1.329703504,-0.540070474,,,,,,
Albania,ALB,,,,,,,,-11.9020449,-9.925556476,-8.841427942,-7.772064132,-6.83716591,-6.211610794,-5.006109116,-5.162748126,-3.457787955,-3.263216216,-3.179136855,-4.884198091,-6.586478234,-3.520121859,-3.516311953,-3.440600383,-5.215218883,-5.457544155,-4.317810633,-1.497589914,-1.405554028,-1.596850671,-1.921215969,-6.665139896,-4.57113676,-3.638837373,-1.318778126,-0.724550684,-1.72332071,-1.902551972,-1.914404365,-1.884641151,-1.839350088,-1.746525977
Algeria,DZA,3.350608003,1.525128803,-1.048070576,-7.790027579,-4.050915261,-1.297940937,2.698174875,2.191555781,-3.520114996,-1.830808199,8.912596973,3.15186109,0.214924557,7.21715486,6.36317999,11.4313255,12.86888166,4.627705277,7.785620807,-6.529444661,-1.347212296,-1.058276247,-4.036427829,-0.78829315,-7.144960999,-13.87860867,-11.84700831,-7.547024306,-6.154000788,-8.508545731,-10.5181947,-6.316661979,-2.962500014,-5.515725247,-13.79127157,-11.54317147,-12.1757549,-10.82421644,-10.44745957,-9.201103112,-9.221710182
Andorra,AND,,,,,,,,,,,,0.657774718,0.977651404,1.764419603,1.854838389,-0.08142709,-1.435979671,-2.828197901,-3.191714902,-3.509616299,-0.34865241,0.404676959,-1.653065153,3.360411427,2.142889023,1.653796916,4.06812433,3.33796362,2.670696669,2.305909298,-1.064946273,-1.166473768,4.843595533,2.148243147,2.863737572,2.472804632,2.484431773,2.268656469,2.435611158,2.310685274,2.350166836
Angola,AGO,,,,,,,4.492796384,-0.231554992,-5.102706949,-8.095645522,2.021409332,2.804728963,-2.244911361,-4.102132275,1.032485213,6.403893388,8.415090369,3.853129237,-3.795655616,-6.795681776,2.977498083,7.195411138,3.684622369,-0.27010041,-5.068611124,-2.574526598,-3.982969973,-5.74731467,2.029861371,0.692608604,-1.65885612,3.39851185,0.584417508,-1.829715707,-1.009150286,-2.758851235,-2.988778294,-2.949288814,-2.61488919,-2.548131372,-2.389722818
Anguilla,AIA,,,,,,,,,,,-1.336539296,-2.701345892,-0.975093985,1.133992437,-3.073338245,-2.533095311,1.018821385,-1.628355486,-2.117519107,-8.472939388,0.050225902,2.758950535,1.532460664,0.666342476,2.529326385,0.438124692,-0.365393955,0.564257604,0.135211658,2.862774178,1.493285946,6.770525694,11.4132494,11.82680539,8.807900952,-1.284870818,4.553462896,7.097746144,7.40900941,7.709194227,8.068686406
Antigua and Barbuda,ATG,0.123090968,-3.910269959,-0.811756763,-2.445356777,-4.33278858,-3.890718829,-1.611182976,0,-1.620369469,-3.076307477,-4.503027544,-8.57568364,-8.829396929,-7.321957795,-3.901426551,-4.29427979,-6.624500473,-4.97875187,-4.715658409,-15.80093641,-0.24492026,-3.090442776,-0.974524713,-3.829145195,-2.601450417,-2.417591976,-0.140269674,-2.717072496,-2.429782412,-3.640187399,-6.226772467,-4.519801457,-2.842982015,-1.697960574,1.612510787,0.959304245,-0.88012558,-0.737540644,-0.588627667,-0.571801983,-0.527661926
Argentina,ARG,,,,-0.024283554,-1.249802355,-2.074606161,-2.810610432,-1.837621355,-1.827434359,-3.705086124,-3.416751183,-5.364146344,-1.910149902,1.500146081,3.96689503,3.340623023,1.650070275,0.756974472,0.351972892,-1.830044406,-1.393454664,-2.74564846,-3.0180556,-3.253828427,-4.252429085,-6.000558031,-6.654668983,-6.693341132,-5.44114523,-4.444757668,-8.674071393,-4.332951929,-3.836385093,-5.32958909,0.457864697,0.387794419,0.342910699,0.800152786,0.936393856,0.902916173,0.785382874
Armenia,ARM,,,,,,,,,,,,,,,,-1.97631943,-1.95039657,-2.334230983,-1.756524471,-7.686464728,-4.979424966,-2.874852425,-1.493404369,-1.592885554,-1.942693084,-4.836849405,-5.632308736,-4.78505359,-1.751595329,-0.977300943,-5.402747224,-4.583519606,-2.110976998,-2.018774277,-3.689730362,-5.508721921,-4.498202912,-3.825676727,-3.295259441,-3.004149043,-2.657493418
Aruba,ABW,,,,,,-0.833616787,-2.343489879,-2.102130422,0.113932757,0.08559493,0.644935622,-0.835327199,-3.168730937,1.896118784,-8.530897958,-2.957019251,-2.541460392,-1.045858284,1.465953339,-2.631135324,-3.486733734,-6.42893376,-8.954926726,-6.047697554,-7.458532182,-1.475284745,-1.454977006,-2.587021678,-2.641022832,-0.246096363,-16.9077386,-9.956231644,-0.504643769,3.085603427,3.768851693,1.401848635,1.221455339,1.061670352,1.019551639,1.031938365,1.041225865
