Population (Millions of people),Country code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,21,22.645,23.554,24.411,25.443,25.903,26.427,27.385,28.19,29.249,30.466,31.541,32.716,33.753,34.636,35.643,36.687,37.769,38.972,40.099,40.8,42.2,43.373,,,,,,
Albania,ALB,2.672,2.726,2.784,2.844,2.904,2.965,3.023,3.084,3.142,3.228,3.287,3.267,3.247,3.227,3.208,3.188,3.168,3.148,3.129,3.109,3.089,3.06,3.051,3.04,3.027,3.011,2.993,2.97,2.947,2.928,2.913,2.905,2.9,2.895,2.889,2.881,2.876,2.873,2.866,2.854,2.838,2.812,2.778,2.75,2.722,2.695,2.668,2.642,2.615,2.589,2.563
Algeria,DZA,18.666,19.246,19.864,20.516,21.175,22.2,22.8,23.4,24.1,24.7,25.022,25.643,26.271,26.894,27.496,28.06,28.566,29.045,29.507,29.965,30.506,30.954,31.414,31.885,32.366,32.855,33.351,33.858,34.591,35.268,35.978,36.717,37.495,38.297,39.114,39.963,40.836,41.721,42.578,43.424,43.851,44.577,45.291,45.973,46.626,47.251,47.851,48.425,49.006,49.594,50.685
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.07,0.07,0.071,0.072,0.073,0.075,0.076,0.078,0.078,0.08,0.082,0.085,0.087,0.089,0.091,0.093,0.096,0.098,0.1
Angola,AGO,8.272,8.495,8.72,8.948,9.185,10.35,10.646,10.918,11.214,11.521,11.829,12.229,12.633,13.038,13.462,13.912,14.383,14.871,15.367,15.871,16.394,16.942,17.516,18.124,18.771,19.451,20.162,20.91,21.692,22.508,23.364,24.259,25.188,26.147,27.128,28.128,29.155,30.209,31.274,32.354,33.428,34.504,35.589,36.684,37.968,39.297,40.672,42.096,43.569,45.094,46.673
Antigua and Barbuda,ATG,0.068,0.068,0.067,0.066,0.065,0.064,0.063,0.062,0.061,0.06,0.06,0.061,0.062,0.063,0.065,0.067,0.068,0.07,0.072,0.074,0.076,0.077,0.078,0.078,0.079,0.08,0.081,0.082,0.083,0.084,0.085,0.086,0.087,0.088,0.089,0.091,0.092,0.094,0.095,0.096,0.098,0.099,0.101,0.102,0.104,0.105,0.106,0.108,0.109,0.11,0.112
Argentina,ARG,27.95,28.45,28.93,29.34,29.84,30.35,30.74,31.09,31.47,31.86,32.53,32.97,33.42,33.917,34.353,34.779,35.196,35.604,36.005,36.399,36.784,37.156,37.516,37.87,38.226,38.592,38.971,39.356,39.746,40.134,40.788,41.261,41.733,42.203,42.67,43.132,43.59,44.045,44.495,44.939,45.377,45.809,46.235,46.655,47.121,47.592,48.068,48.549,49.034,49.525,50.02
Armenia,ARM,,,,,,,,,,,3.51,3.51,3.45,3.37,3.255,3.247,3.242,3.235,3.23,3.221,3.212,3.2,3.183,3.165,3.146,3.127,3.107,3.087,3.066,3.037,3.02,3.024,3.022,3.014,3.005,2.992,2.979,2.969,2.963,2.962,2.962,2.969,2.984,3.034,3.116,3.106,3.096,3.086,3.075,3.064,3.052
Aruba,ABW,,,,,,,0.081,0.085,0.088,0.089,0.09,0.091,0.092,0.092,0.094,0.096,0.099,0.1,0.1,0.101,0.102,0.102,0.103,0.105,0.106,0.107,0.109,0.109,0.109,0.109,0.109,0.108,0.107,0.107,0.108,0.108,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109
Australia,AUS,14.802,15.039,15.289,15.483,15.677,15.901,16.139,16.395,16.687,16.937,17.17,17.379,17.557,17.719,17.893,18.12,18.33,18.51,18.706,18.919,19.141,19.386,19.605,19.827,20.046,20.312,20.628,21.016,21.476,21.866,22.172,22.522,22.928,23.298,23.64,23.985,24.385,24.759,25.146,25.52,25.631,25.774,26.32,26.954,27.4,27.743,28.089,28.426,28.767,29.113,29.462
Austria,AUT,7.54,7.556,7.565,7.543,7.544,7.549,7.557,7.567,7.576,7.594,7.645,7.711,7.799,7.883,7.929,7.948,7.959,7.968,7.977,7.992,8.012,8.042,8.082,8.118,8.169,8.225,8.268,8.295,8.322,8.341,8.361,8.389,8.426,8.477,8.544,8.63,8.74,8.815,8.885,8.859,8.901,8.932,8.978,9.105,9.159,9.182,9.205,9.228,9.254,9.279,9.305
Azerbaijan,AZE,,,,,,,,,,,,,7.459,7.487,7.597,7.644,7.726,7.8,7.877,7.953,8.033,8.114,8.191,8.269,8.349,8.447,8.553,8.666,8.779,8.922,8.997,9.111,9.235,9.356,9.477,9.593,9.705,9.81,9.898,9.951,9.974,10.026,10.063,10.127,10.249,10.372,10.496,10.622,10.749,10.878,11.009
"Bahamas, The",BHS,0.211,0.215,0.22,0.225,0.23,0.234,0.238,0.242,0.247,0.251,0.255,0.259,0.264,0.269,0.273,0.279,0.284,0.288,0.293,0.298,0.304,0.308,0.313,0.318,0.323,0.328,0.332,0.337,0.342,0.347,0.351,0.355,0.359,0.362,0.366,0.37,0.373,0.377,0.381,0.385,0.389,0.394,0.399,0.404,0.408,0.413,0.417,0.421,0.425,0.429,0.434
Bahrain,BHR,0.353,0.367,0.38,0.393,0.406,0.42,0.435,0.45,0.467,0.484,0.488,0.508,0.516,0.53,0.544,0.559,0.574,0.589,0.605,0.621,0.638,0.661,0.711,0.765,0.824,0.889,0.96,1.039,1.103,1.178,1.229,1.195,1.209,1.253,1.315,1.37,1.424,1.501,1.503,1.484,1.472,1.504,1.525,1.577,1.589,1.62,1.652,1.685,1.718,1.752,1.787
Bangladesh,BGD,79.639,81.768,83.932,86.142,88.417,90.764,93.188,95.671,98.186,100.695,103.172,105.599,107.984,110.351,112.738,115.17,117.65,120.161,122.683,125.19,127.658,130.089,132.478,134.792,136.986,139.036,140.921,142.66,144.304,145.925,147.575,149.274,151.008,152.765,154.52,156.256,157.971,159.671,161.356,163.046,164.689,166.657,168.52,170.279,172.019,173.736,175.423,177.07,178.681,180.245,181.767
Barbados,BRB,0.252,0.253,0.254,0.255,0.255,0.256,0.257,0.258,0.259,0.259,0.26,0.261,0.262,0.263,0.264,0.265,0.266,0.267,0.268,0.269,0.27,0.271,0.271,0.272,0.273,0.274,0.275,0.276,0.277,0.278,0.28,0.281,0.282,0.283,0.283,0.284,0.285,0.286,0.286,0.287,0.288,0.289,0.289,0.29,0.291,0.292,0.292,0.293,0.294,0.295,0.295
Belarus,BLR,,,,,,,,,,,10.19,10.195,10.217,10.24,10.228,10.177,10.142,10.093,10.045,10.019,9.99,9.929,9.866,9.797,9.73,9.664,9.605,9.561,9.528,9.505,9.484,9.462,9.447,9.443,9.449,9.461,9.469,9.459,9.439,9.42,9.38,9.303,9.228,9.178,9.133,9.087,9.042,8.996,8.951,8.907,8.862
Belgium,BEL,9.855,9.863,9.855,9.858,9.853,9.858,9.859,9.865,9.876,9.928,9.948,9.987,10.022,10.068,10.101,10.131,10.143,10.17,10.192,10.214,10.239,10.263,10.31,10.356,10.396,10.446,10.511,10.585,10.667,10.753,10.84,11.001,11.076,11.138,11.181,11.237,11.311,11.352,11.399,11.456,11.522,11.555,11.618,11.743,11.817,11.867,11.913,11.955,11.996,12.033,12.069
Belize,BLZ,0.15,0.15,0.153,0.157,0.162,0.166,0.171,0.176,0.179,0.184,0.189,0.194,0.199,0.205,0.211,0.217,0.222,0.23,0.239,0.243,0.25,0.256,0.263,0.269,0.276,0.284,0.291,0.299,0.307,0.315,0.322,0.328,0.334,0.342,0.349,0.357,0.364,0.371,0.379,0.386,0.393,0.399,0.397,0.404,0.411,0.417,0.424,0.431,0.437,0.444,0.451
Benin,BEN,3.858,3.991,4.114,4.248,4.382,4.527,4.672,4.817,4.973,5.12,5.281,5.447,5.618,5.873,6.097,6.227,6.392,6.583,6.789,7.003,7.222,7.446,7.675,7.913,8.159,8.426,8.693,8.954,9.228,9.509,9.797,10.094,10.398,10.709,11.03,11.361,11.698,12.04,12.383,12.727,13.07,13.413,13.76,14.111,14.5,14.923,15.357,15.809,16.283,16.784,17.302
Bhutan,BTN,0.422,0.433,0.445,0.455,0.466,0.479,0.495,0.512,0.528,0.542,0.548,0.547,0.54,0.53,0.523,0.52,0.524,0.532,0.546,0.561,0.576,0.594,0.611,0.627,0.642,0.657,0.668,0.677,0.686,0.694,0.702,0.709,0.717,0.725,0.733,0.74,0.747,0.753,0.759,0.765,0.77,0.775,0.78,0.785,0.79,0.795,0.801,0.806,0.811,0.816,0.822
Bolivia,BOL,5.161,5.587,5.703,5.822,5.944,6.068,6.195,6.324,6.456,6.591,6.728,6.869,7.012,7.213,7.419,7.567,7.717,7.871,8.026,8.183,8.43,8.59,8.75,8.91,9.07,9.23,9.39,9.55,9.71,9.87,10.03,10.19,10.35,10.51,10.67,10.83,10.99,11.15,11.31,11.47,11.63,11.8,11.96,12.13,12.29,12.45,,,,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,3.763,3.736,3.732,3.743,3.751,3.755,3.759,3.76,3.763,3.766,3.768,3.762,3.754,3.736,3.704,3.66,3.605,3.531,3.526,3.518,3.511,3.504,3.496,3.491,3.487,3.481,3.473,3.464,3.455,3.445,3.436,3.426,3.416,3.405,3.394
Botswana,BWA,0.963,0.981,1.017,1.055,1.093,1.134,1.176,1.219,1.263,1.309,1.358,1.399,1.439,1.48,1.519,1.558,1.595,1.631,1.666,1.698,1.727,1.762,1.795,1.827,1.859,1.893,1.929,1.967,2.007,2.049,2.092,2.134,2.175,2.217,2.26,2.305,2.352,2.402,2.451,2.5,2.546,2.588,2.63,2.675,2.72,2.763,2.806,2.849,2.89,2.932,2.973
