Model,Scenario,Region,Country code,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD ENV-Growth 2023,SSP1,Aruba,ABW,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,29212.7,42353.8,44105.2,46853.2,50290.1,54300.4,58737.9,63649.5,69191.1,75316.1,81652.8,88197.2,95051.9,102271,109946,118126,126844
OECD ENV-Growth 2023,SSP1,Angola,AGO,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,6121.6,5990.11,6386.84,7081.16,8064.14,9481.66,11329.7,13637.9,16480.7,19909.6,23942.4,28614.2,33950.7,40014.7,46922.6,54685.2,63333.3
OECD ENV-Growth 2023,SSP1,Albania,ALB,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,13446,17485.5,21389.9,26155.1,31642.9,37362.3,42719.7,47851.9,53046.7,58470.7,64152,69647.4,74940.2,80116.1,85341,90651.4,96038
OECD ENV-Growth 2023,SSP1,United Arab Emirates,ARE,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,67959.1,81086.8,96068.6,110618,120830,126834,129437,130742,132410,134805,137458,140105,143178,146555,150153,153825,157552
OECD ENV-Growth 2023,SSP1,Argentina,ARG,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,16713.6,18775,20870.4,23146.1,26026,29507.3,33424,37762,42551.7,47815,53469.5,59383.6,65503.9,71828.7,78363.7,85093,91977.3
OECD ENV-Growth 2023,SSP1,Armenia,ARM,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,13339.2,18979.5,24123.6,30184.3,36336.4,41959.2,46896.7,51587.1,56563.7,61989.7,67421.9,72309.8,77108.9,82024.4,87186.6,92590,98178.5
OECD ENV-Growth 2023,SSP1,Antigua and Barbuda,ATG,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,18846,24479.9,27575.4,31554.3,36475.3,42373.8,48854.5,55948,63853,72760.5,82349.5,92594.1,103453,114995,127298,140395,154293
OECD ENV-Growth 2023,SSP1,Australia,AUS,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,47086.7,52071.7,57348.8,63991.3,71960.7,80733.1,89121.9,97108,105141,113419,121704,129840,137797,145708,153713,161787,169700
OECD ENV-Growth 2023,SSP1,Austria,AUT,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,48964,53588.2,58582.6,62890.7,67598.9,72290.3,76515.8,80642,85033.7,89775.4,94551.3,99216.8,103705,108188,112670,117157,121497
OECD ENV-Growth 2023,SSP1,Azerbaijan,AZE,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,13493.3,15730.9,17410.5,19195.2,21433.6,24416,27973.2,31965.2,36438.4,41387.9,46776,52583,58833.9,65574.9,72796.3,80371.1,88256.9
OECD ENV-Growth 2023,SSP1,Burundi,BDI,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,721.399,782.963,939.808,1160.08,1468.28,1899.52,2468.75,3211.05,4180.63,5413.18,6928.31,8766.13,10963.5,13557.8,16595.6,20136.1,24242.4
OECD ENV-Growth 2023,SSP1,Belgium,BEL,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,45791.7,51790.5,55575.6,59004.8,62308.3,65459.2,68458.9,71601.2,75113.4,78932.1,82690.1,86272.4,89705.2,93119.6,96618.1,100123,103555
OECD ENV-Growth 2023,SSP1,Benin,BEN,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,3231.54,3857.19,4696.06,5902.52,7347.57,9082.15,11104.6,13480.3,16330.8,19688.5,23569.8,27977.7,32957.6,38533.4,44824.6,51851.5,59645.5
OECD ENV-Growth 2023,SSP1,Burkina Faso,BFA,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,2133.48,2428.44,2935.98,3762.73,4770.7,6045.95,7606.48,9520.72,11878.5,14715.6,17997.2,21761.4,26022.9,30837.9,36296.8,42449.2,49302.6
OECD ENV-Growth 2023,SSP1,Bangladesh,BGD,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,6005.84,7841.85,10634.5,14182.4,18314.3,22956.7,27792.9,32772.7,38046,43718,49579.4,55676.4,61806,67873.7,73957.2,80143.4,86427.1
OECD ENV-Growth 2023,SSP1,Bulgaria,BGR,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,22273.4,28104,33492.8,39331.9,45378.1,51338.5,56948.6,62502.4,68146.3,73914.7,79717.1,85579.7,91536.4,97624.3,103918,110498,117491
OECD ENV-Growth 2023,SSP1,Bahrain,BHR,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,47462.1,51732.8,55526.9,59984.5,63996.4,67831.2,71528.2,75676.6,80512.4,86148.9,91760.5,97514.9,103477,109676,116117,122705,129347
OECD ENV-Growth 2023,SSP1,Bahamas,BHS,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,26176.8,36977.6,39263.4,42264.9,45865.5,49967.3,54292.8,58836.7,63725.6,68975.8,74552.6,80408.3,86556,93024.3,99783.2,106874,114309
