Model,Scenario,version,Region,Country code,Unit,Variable,Type,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD ENV-Growth 2025,SSP1,1,Albania,ALB,USD_2010/yr,GDP|PPP [per capita],ANNUAL,15432.88624,18861.78977,23050.64738,27871.44635,32886.36067,37570.71472,42047.61137,46575.60101,51305.02302,56259.75659,61046.89994,65649.9983,70147.74891,74687.09496,79292.31458,83947.30661
OECD ENV-Growth 2025,SSP1,1,Albania,ALB,USD_2015/yr,GDP|PPP [per capita],ANNUAL,16746.84149,20467.68171,25013.17847,30244.42005,35686.30395,40769.4837,45627.54312,50541.0456,55673.13039,61049.70976,66244.43028,71239.43622,76120.12512,81045.9509,86043.25871,91094.57655
OECD ENV-Growth 2025,SSP1,1,Albania,ALB,USD_2017/yr,GDP|PPP [per capita],ANNUAL,17481.41035,21365.45827,26110.33473,31571.03494,37251.61689,42557.76081,47628.90992,52757.93398,58115.12807,63727.54103,69150.11825,74364.22078,79458.99196,84600.87987,89817.38524,95090.26968
OECD ENV-Growth 2025,SSP1,1,Algeria,DZA,USD_2010/yr,GDP|PPP [per capita],ANNUAL,14116.87245,14623.31334,15762.55815,17351.27205,19602.32734,22439.23855,25982.80076,30438.38789,35898.55117,42134.53146,49082.16949,56725.49801,65165.39544,74565.14586,85020.24833,96515.52716
OECD ENV-Growth 2025,SSP1,1,Algeria,DZA,USD_2015/yr,GDP|PPP [per capita],ANNUAL,12147.03898,12582.81237,13563.08977,14930.11847,16867.06707,19308.12271,22357.22501,26191.09053,30889.35614,36255.18316,42233.36496,48810.16233,56072.37734,64160.50984,73156.73317,83047.98922
OECD ENV-Growth 2025,SSP1,1,Algeria,DZA,USD_2017/yr,GDP|PPP [per capita],ANNUAL,11625.13995,12042.19028,12980.34994,14288.64408,16142.37145,18478.54683,21396.64407,25065.78708,29562.19113,34697.47473,40418.80321,46713.02766,53663.22071,61403.8456,70013.54508,79479.82209
OECD ENV-Growth 2025,SSP1,1,Angola,AGO,USD_2010/yr,GDP|PPP [per capita],ANNUAL,5073.527339,5398.234885,5992.004041,6825.55711,8018.349104,9569.356789,11506.04328,13892.17518,16772.76976,20161.92653,24084.69067,28558.52933,33635.12498,39414.31582,45908.55794,53147.48271
OECD ENV-Growth 2025,SSP1,1,Angola,AGO,USD_2015/yr,GDP|PPP [per capita],ANNUAL,5408.311571,5754.445427,6387.395322,7275.951627,8547.45177,10200.805,12265.28662,14808.87098,17879.54586,21492.34118,25673.95473,30443.00627,35854.58863,42015.12795,48937.90228,56654.49824
OECD ENV-Growth 2025,SSP1,1,Angola,AGO,USD_2017/yr,GDP|PPP [per capita],ANNUAL,5918.575652,6297.36659,6990.034123,7962.424054,9353.887858,11163.23187,13422.49347,16206.06025,19566.44758,23520.10337,28096.24434,33315.24697,39237.402,45979.17669,53555.10183,61999.74418
OECD ENV-Growth 2025,SSP1,1,Antigua and Barbuda,ATG,USD_2010/yr,GDP|PPP [per capita],ANNUAL,27660.99698,31134.90551,35614.60757,41152.78249,47783.66805,55051.04505,62992.31233,71846.71923,81842.73923,92607.44542,104099.0832,116269.1987,129184.6664,142924.1811,157533.8682,173039.3137
OECD ENV-Growth 2025,SSP1,1,Antigua and Barbuda,ATG,USD_2015/yr,GDP|PPP [per capita],ANNUAL,24844.80687,27965.03375,31988.65346,36962.98198,42918.77133,49446.25037,56579.01033,64531.94238,73510.25891,83179.00102,93500.66518,104431.7307,116032.2634,128372.9462,141495.2084,155422.0309
OECD ENV-Growth 2025,SSP1,1,Antigua and Barbuda,ATG,USD_2017/yr,GDP|PPP [per capita],ANNUAL,24433.15704,27501.68536,31458.63832,36350.54795,42207.65673,48626.98296,55641.56131,63462.72243,72292.2786,81800.82079,91951.46687,102701.4172,114109.7424,126245.9543,139150.7958,152846.8669
OECD ENV-Growth 2025,SSP1,1,Argentina,ARG,USD_2010/yr,GDP|PPP [per capita],ANNUAL,17109.79652,18989.22934,21045.6011,23648.27063,26792.47948,30324.71658,34228.01877,38531.43988,43259.04673,48339.63477,53650.86363,59141.60284,64806.64175,70642.8678,76615.42573,82692.75312
OECD ENV-Growth 2025,SSP1,1,Argentina,ARG,USD_2015/yr,GDP|PPP [per capita],ANNUAL,18714.96921,20770.72289,23020.01523,25866.85681,29306.04276,33169.66022,37439.15461,42146.30548,47317.43749,52874.66599,58684.1731,64690.0315,70886.54172,77270.29915,83803.17858,90450.65652
OECD ENV-Growth 2025,SSP1,1,Argentina,ARG,USD_2017/yr,GDP|PPP [per capita],ANNUAL,22278.90305,24726.13855,27403.7687,30792.74076,34886.85866,39486.23351,44568.77736,50172.32159,56328.20395,62943.70801,69859.53269,77009.10026,84385.62591,91985.05668,99762.00709,107675.3793
OECD ENV-Growth 2025,SSP1,1,Armenia,ARM,USD_2010/yr,GDP|PPP [per capita],ANNUAL,15363.65144,19517.12004,24408.20465,29366.91061,33889.92888,37846.82264,41592.95474,45566.99906,49907.8669,54254.73273,58156.30756,61974.43858,65874.24259,69965.64187,74248.78533,78684.3011
OECD ENV-Growth 2025,SSP1,1,Armenia,ARM,USD_2015/yr,GDP|PPP [per capita],ANNUAL,16717.88371,21237.46067,26559.67096,31955.4631,36877.16376,41182.83874,45259.17444,49583.51173,54307.00628,59037.02751,63282.50747,67437.18844,71680.7415,76132.77802,80793.46006,85619.9453
OECD ENV-Growth 2025,SSP1,1,Armenia,ARM,USD_2017/yr,GDP|PPP [per capita],ANNUAL,18982.25832,24113.99502,30157.07873,36283.71066,41872.0372,46760.89971,51389.35978,56299.41233,61662.68649,67033.37135,71853.88563,76571.30255,81389.62895,86444.67711,91736.63104,97216.8456
OECD ENV-Growth 2025,SSP1,1,Aruba,ABW,USD_2010/yr,GDP|PPP [per capita],ANNUAL,41107.66664,42765.56314,45397.00722,48700.69869,52546.543,56791.26664,61471.86759,66758.52632,72614.71935,78693.75987,84970.98118,91524.38582,98428.3044,105750.9716,113543.8039,121821.4366
OECD ENV-Growth 2025,SSP1,1,Aruba,ABW,USD_2015/yr,GDP|PPP [per capita],ANNUAL,41361.76992,43029.91455,45677.62467,49001.73759,52871.35465,57142.31665,61851.85031,67171.18804,73063.58059,79180.19814,85496.22152,92090.13543,99036.72995,106404.6616,114245.6645,122574.4647
OECD ENV-Growth 2025,SSP1,1,Aruba,ABW,USD_2017/yr,GDP|PPP [per capita],ANNUAL,42301.19485,44007.22705,46715.07301,50114.68451,54072.18984,58440.15563,63256.65409,68696.80672,74723.02963,80978.57023,87438.04564,94181.72314,101286.0915,108821.3665,116840.4574,125358.4246
OECD ENV-Growth 2025,SSP1,1,Australia,AUS,USD_2010/yr,GDP|PPP [per capita],ANNUAL,48635.86039,53556.53181,59752.64538,67182.27319,75351.36801,83144.99946,90539.85893,97964.38055,105624.4575,113299.232,120830.2978,128180.5868,135471.3777,142825.0523,150197.9626,157369.0139
OECD ENV-Growth 2025,SSP1,1,Australia,AUS,USD_2015/yr,GDP|PPP [per capita],ANNUAL,52086.2088,57355.96484,63991.64606,71948.35007,80696.98071,89043.51168,96962.9808,104914.2164,113117.7182,121336.9601,129402.2984,137274.0351,145082.0528,152957.4153,160853.3782,168533.1616
OECD ENV-Growth 2025,SSP1,1,Australia,AUS,USD_2017/yr,GDP|PPP [per capita],ANNUAL,54339.61844,59837.36034,66760.12154,75061.05704,84188.18036,92895.80794,101157.8977,109453.1281,118011.5387,126586.3703,135000.64,143212.9322,151358.7488,159574.8237,167812.3902,175824.4247
OECD ENV-Growth 2025,SSP1,1,Austria,AUT,USD_2010/yr,GDP|PPP [per capita],ANNUAL,46126.58719,50396.94405,54078.73149,58102.01714,62106.11374,65700.0715,69194.22139,72906.51408,76925.58028,80983.04975,84944.95553,88749.62729,92536.31956,96303.07905,100029.2934,103608.8574
OECD ENV-Growth 2025,SSP1,1,Austria,AUT,USD_2015/yr,GDP|PPP [per capita],ANNUAL,53629.70439,58594.6929,62875.37318,67553.10101,72208.51842,76387.08232,80449.60324,84765.75086,89438.57288,94156.04499,98762.40866,103185.9621,107588.6114,111968.0856,116300.4194,120462.2482
OECD ENV-Growth 2025,SSP1,1,Austria,AUT,USD_2017/yr,GDP|PPP [per capita],ANNUAL,56849.54915,62112.62793,66650.31365,71608.88504,76543.80653,80973.24497,85279.67338,89854.95585,94808.3269,99809.02876,104691.9514,109381.0881,114048.0657,118690.4768,123282.9173,127694.6158
OECD ENV-Growth 2025,SSP1,1,Azerbaijan,AZE,USD_2010/yr,GDP|PPP [per capita],ANNUAL,16359.28773,18100.24568,19950.14732,22268.82042,25353.96779,29031.39852,33157.96732,37781.48534,42896.93468,48462.9032,54456.42077,60902.60839,67849.6537,75289.13444,83091.86426,91215.33051
OECD ENV-Growth 2025,SSP1,1,Azerbaijan,AZE,USD_2015/yr,GDP|PPP [per capita],ANNUAL,15808.61285,17490.96789,19278.59943,21519.22299,24500.52029,28054.16392,32041.82705,36509.71145,41452.96811,46831.5789,52623.34688,58852.54745,65565.74619,72754.80434,80294.88414,88144.90396
OECD ENV-Growth 2025,SSP1,1,Azerbaijan,AZE,USD_2017/yr,GDP|PPP [per capita],ANNUAL,15723.23568,17396.50487,19174.482,21403.00467,24368.20096,27902.65252,31868.77958,36312.53439,41229.09413,46578.6568,52339.14532,58534.704,65211.64695,72361.87934,79861.23762,87668.86203
OECD ENV-Growth 2025,SSP1,1,Bahamas,BHS,USD_2010/yr,GDP|PPP [per capita],ANNUAL,31362.93138,33294.21098,35833.21957,38876.55157,42339.62886,45977.35486,49798.94278,53908.7614,58316.09584,63001.62127,67918.44521,73073.31539,78490.38741,84134.28023,90046.77666,96233.03107
OECD ENV-Growth 2025,SSP1,1,Bahamas,BHS,USD_2015/yr,GDP|PPP [per capita],ANNUAL,34441.8791,36562.75542,39351.02242,42693.12306,46496.17604,50491.02325,54687.7824,59201.06829,64041.0776,69186.58835,74586.10453,80247.03633,86195.91073,92393.87328,98886.80868,105680.3773
OECD ENV-Growth 2025,SSP1,1,Bahamas,BHS,USD_2017/yr,GDP|PPP [per capita],ANNUAL,36916.06779,39189.30073,42177.86746,45760.05336,49836.30486,54118.12845,58616.36866,63453.87382,68641.57311,74156.72004,79944.1193,86011.71339,92387.9349,99031.13823,105990.5043,113272.1
OECD ENV-Growth 2025,SSP1,1,Bahrain,BHR,USD_2010/yr,GDP|PPP [per capita],ANNUAL,54258.24458,58200.23561,62834.07196,66998.76159,70964.50986,74770.72431,79039.55729,84019.35013,89837.5213,95623.32977,101536.9174,107642.4602,113963.5741,120505.4443,127170.4183,133861.1198
OECD ENV-Growth 2025,SSP1,1,Bahrain,BHR,USD_2015/yr,GDP|PPP [per capita],ANNUAL,48770.82399,52314.14081,56479.33302,60222.82575,63787.49712,67208.76917,71045.87269,75522.03299,80751.78202,85952.44137,91267.95691,96756.01415,102437.8407,108318.0972,114309.0075,120323.0433
OECD ENV-Growth 2025,SSP1,1,Bahrain,BHR,USD_2017/yr,GDP|PPP [per capita],ANNUAL,51588.04726,55336.04207,59741.83461,63701.56841,67472.15131,71091.05149,75149.80346,79884.52701,85416.36999,90917.44293,96540.00667,102345.0789,108355.1135,114575.0402,120912.0126,127273.4462
OECD ENV-Growth 2025,SSP1,1,Bangladesh,BGD,USD_2010/yr,GDP|PPP [per capita],ANNUAL,6697.592934,9081.929493,12112.45559,15638.14216,19591.01372,23701.9496,27934.067,32418.01978,37240.88626,42221.07204,47396.15568,52593.69605,57732.4836,62872.92021,68081.2821,73359.65431
OECD ENV-Growth 2025,SSP1,1,Bangladesh,BGD,USD_2015/yr,GDP|PPP [per capita],ANNUAL,7595.976295,10300.13645,13737.16296,17735.76841,22218.85942,26881.21675,31681.0103,36766.41925,42236.20217,47884.40646,53753.65129,59648.36507,65476.44523,71306.39563,77213.38249,83199.77052
OECD ENV-Growth 2025,SSP1,1,Bangladesh,BGD,USD_2017/yr,GDP|PPP [per capita],ANNUAL,7813.45603,10595.03876,14130.47047,18243.55965,22855.00564,27650.85052,32588.06655,37819.0754,43445.4632,49255.38073,55292.66739,61356.15221,67351.09562,73347.96283,79424.07211,85581.85589
OECD ENV-Growth 2025,SSP1,1,Barbados,BRB,USD_2010/yr,GDP|PPP [per capita],ANNUAL,17346.48194,19165.97857,21674.5243,25199.57987,29536.77353,34325.78501,39431.25081,44955.41591,50940.81074,57209.16873,63683.4253,70320.54975,77162.43038,84246.49392,91615.18777,99349.39596
OECD ENV-Growth 2025,SSP1,1,Barbados,BRB,USD_2015/yr,GDP|PPP [per capita],ANNUAL,16945.73808,18723.20012,21173.79265,24617.41127,28854.40573,33532.77996,38520.2977,43916.8418,49763.96016,55887.50459,62212.19085,68695.98237,75379.79973,82300.20502,89498.66498,97054.19508
